Incident Date,State,City Or County,Address,# Killed,# Injured,AgeGroup
08.01.16,Illinois,Morris,2400 block of Oakland Circle,1,0,Adult
07.01.16,Ohio,Mc Comb,4190 Township Road 135,1,0,Adult
07.01.16,Wisconsin,Rice Lake,5 1/2 West Eau Claire Street,2,0,Adult
06.01.16,Georgia,Union City,4735 Jonesboro Road,1,0,Adult
05.01.16,Oregon,Cottage Grove,200 block of Sixth Street,1,0,Adult
05.01.16,Mississippi,Oxford,110 Old Taylor Road,1,0,Adult
05.01.16,Texas,Henderson,208 U.S. Highway 79 N,1,0,Adult
04.01.16,Iowa,Delaware (county),155th Avenue,1,0,Adult
04.01.16,Tennessee,Memphis,1400 block of Briercrest Lane,2,1,Adult
04.01.16,Colorado,Trinidad,806 E. Goddard Avenue,1,0,Adult
02.01.16,Iowa,Nashua,110 St. Lawrence Street,1,0,Adult
02.01.16,Alabama,Huntsville,5000 block of Kyle Lane,1,0,Adult
02.01.16,Virginia,Warsaw,Suggetts Point,1,0,Adult
01.01.16,Oklahoma,Altus,1200 block of West Wingfield,1,0,Adult
31.12.15,Arizona,Chandler,Loop 101 and Chandler Boulevard,1,0,Adult
31.12.15,South Carolina,Gaffney,N/A,1,0,Adult
31.12.15,Mississippi,Rolling Fork,68 Frontage Road,1,0,Adult
30.12.15,Georgia,Lithonia,4500 block of Idlewood Park,1,0,Adult
29.12.15,Florida,Saint Cloud,10th Street,1,0,Adult
28.12.15,Alaska,Bethel,N/A,1,0,Adult
27.12.15,Minnesota,Duluth,300 block of West Faribault Street,1,0,Adult
26.12.15,Texas,Burnet,157 Harold Dr,1,0,Adult
26.12.15,Arkansas,Clark (county),N/A,1,0,Adult
24.12.15,Tennessee,Nashville,400 block of Wilclay Drive,1,0,Adult
23.12.15,New Mexico,Rio Rancho,300 block of Aldaba Circle,1,0,Adult
22.12.15,Wisconsin,Beloit,212 8th Street,1,0,Adult
22.12.15,Florida,Miami,10600 block of Southwest 27th Street,1,0,Adult
21.12.15,Pennsylvania,Chester (Eddystone),1200 block of Saville Ave,1,0,Adult
21.12.15,Pennsylvania,Pittsburgh,200-block of Mathilda Street,3,0,Adult
21.12.15,Missouri,Poplar Bluff,500 section of County Road 42222,1,0,Adult
20.12.15,Pennsylvania,Eddyville,1200 block of Saville Avenue,1,0,Adult
19.12.15,Louisiana,Thibodaux,117 Violet St,1,0,Adult
19.12.15,Mississippi,Magee,N/A,1,0,Adult
19.12.15,Nebraska,Omaha,12441 Miami St.,1,0,Adult
18.12.15,Louisiana,Patterson,Grandwood Drive,1,0,Adult
17.12.15,South Dakota,Lower Brule,N/A,1,0,Adult
17.12.15,Illinois,Belleville,1800 block of Dalton Dr,1,0,Adult
17.12.15,Michigan,Detroit,Ferguson,1,0,Adult
16.12.15,Florida,Dade City,21st Street and Powerline Road,1,0,Adult
15.12.15,Virginia,Front Royal,Nez Perce Way,1,0,Adult
13.12.15,Mississippi,Natchez,Mount Carmel Road,1,0,Adult
13.12.15,Idaho,Coeur D Alene (Coeur D'alene),N 3rd St and E Indiana Ave,1,0,Adult
13.12.15,Missouri,Kansas City,Interstate 435 and Winner Road,1,0,Adult
12.12.15,Oklahoma,Lawton,5214 Rogers Lane,1,0,Adult
12.12.15,North Carolina,Fayetteville,6500 block of Wicklow Place,1,0,Adult
12.12.15,Florida,Tampa,4611 E Whiteway Drive,1,0,Adult
11.12.15,Louisiana,Terrebonne (county),Jennings Lane,1,0,Adult
11.12.15,Kansas,South Hutchinson,107 East Avenue B,1,0,Adult
10.12.15,Wyoming,Natrona (county),Coal Mountain Road,1,0,Adult
10.12.15,Texas,Universal City,300 block of Madrid,1,0,Adult
09.12.15,Illinois,Hoffman Estates,2800 block of Greens Point Parkway,1,0,Adult
09.12.15,Texas,Dallas,4900 block of South Buckner Boulevard,1,0,Adult
08.12.15,Washington,Puyallup,900 block of 18th Avenue Southwest,1,0,Adult
07.12.15,Arkansas,Kingston,N/A,1,0,Adult
07.12.15,Kansas,Jefferson (county),150th and Wallace Rd.,1,0,Adult
05.12.15,Colorado,Englewood,South Santa Fe Drive,1,0,Adult
04.12.15,Louisiana,Baton Rouge,2323 Spain St,1,0,Adult
04.12.15,Utah,Spanish Fork (Lake Shore),N/A,1,0,Adult
03.12.15,Texas,Webb (county),Farm to Market 2050 Rd,1,0,Adult
29.11.15,Wisconsin,Spencer,900 block of Century Road,1,0,Adult
29.11.15,Minnesota,Itasca (county),E. Natures Trail,1,0,Adult
29.11.15,North Carolina,Wayne (county),Capps Bridge Road,1,0,Adult
28.11.15,New York,Rome,519 West Dominick,1,0,Adult
28.11.15,Georgia,Atlanta,1041 Martin Street SE,1,0,Adult
28.11.15,Arkansas,Jonesboro,710 N. Caraway Road,1,0,Adult
27.11.15,Florida,West Palm Beach,1601 W 37th St,1,0,Adult
25.11.15,California,Paradise,Pearson Road,1,0,Adult
25.11.15,Wisconsin,Hayward,Gurno Lake Road,1,0,Adult
24.11.15,Ohio,Toledo,100 block of East Carleton,0,2,Adult
23.11.15,Wisconsin,Mount Morris,24th Road and Brown Deer Ave,1,0,Adult
22.11.15,Wisconsin,Caledonia,N/A,1,0,Adult
21.11.15,Tennessee,Goodlettsville,452 Moss Trail,1,0,Adult
21.11.15,Colorado,Denver,N/A,1,0,Adult
20.11.15,Kansas,Overland Park,8900 block of Reeder Road,1,0,Adult
19.11.15,Virginia,Bohannon,The Long Ln and Myrtle Grove Ln,1,0,Adult
19.11.15,Florida,Saint Lucie (county),7160 Maidstone Dr.,1,0,Adult
19.11.15,Louisiana,Saint Gabriel (Iberville),Stassi Rd.,1,0,Adult
18.11.15,Arkansas,Little Rock,3401 Lamar Street,1,0,Adult
17.11.15,Arkansas,Benton,Nelson Court,1,0,Adult
16.11.15,Oregon,Albany,Millersburg Dr NE and Sedona Rd,1,0,Adult
16.11.15,Maine,Bath,Route 1,1,0,Adult
15.11.15,Pennsylvania,York,200 block of North Richland Avenue,1,0,Adult
15.11.15,South Carolina,Rock Hill,Amelia Avenue,1,0,Adult
14.11.15,South Dakota,Rosebud (Yankton Indian Reservation),N/A,1,0,Adult
14.11.15,Arkansas,Lockesburg,376 Arkansas 24,1,0,Adult
12.11.15,New York,Bronx,363 East 171st Street,1,0,Adult
11.11.15,Georgia,Jackson,500 block of Carr Avenue,1,0,Adult
09.11.15,Michigan,Detroit,6600 block of Barton Street,1,0,Adult
07.11.15,Florida,Tampa,Church Avenue,1,0,Adult
07.11.15,Wisconsin,De Pere,1107 Chicago Street,1,0,Adult
07.11.15,California,Los Angeles,3500 block of Cesar Chavez Avenue,1,0,Adult
04.11.15,Nebraska,Imperial,N/A,1,0,Adult
02.11.15,Connecticut,Stamford,Merrell Avenue,1,0,Adult
02.11.15,Tennessee,Clarksville,400 block of Georgetown Road,1,0,Adult
01.11.15,Alabama,Talladega,Jackson Trace Road,1,0,Adult
31.10.15,Illinois,Aurora,1300 block of Valayna Drive,1,0,Adult
31.10.15,Indiana,Decatur,7400 N. Monmouth Road,1,0,Adult
30.10.15,Texas,Houston,16410 North Freeway,1,0,Adult
27.10.15,Georgia,Acworth,1059 Athena Court,1,0,Adult
26.10.15,North Carolina,Pitt (county),Stantonsburg Road.,1,0,Adult
26.10.15,North Carolina,Hendersonville,158 Golden Eagle Way,1,0,Adult
26.10.15,New York,Buffalo,N/A,1,0,Adult
26.10.15,Virginia,Chesterfield,8700 block of Hull Street Road,1,0,Adult
26.10.15,Illinois,Decatur,100 block of South Calhoun Street,1,0,Adult
25.10.15,Colorado,Colorado Springs,2800 block of Concord Street,1,0,Adult
24.10.15,South Dakota,Sioux Falls,4425 W. Briggs Drive,1,0,Adult
24.10.15,Arkansas,Jefferson (county),N/A,1,0,Adult
23.10.15,Louisiana,Alexandria,N/A,1,0,Adult
22.10.15,Kansas,Wichita,800 block of S. San Pablo,1,0,Adult
19.10.15,California,Stockton,3300 block of Zamora Way,1,0,Adult
19.10.15,Illinois,Champaign,600 block of West Beardsley Avenue,1,1,Adult
19.10.15,Texas,Donna,500 block of South 25th Street,1,0,Adult
18.10.15,Illinois,Effingham,3200 block of South Banker Street,1,0,Adult
17.10.15,Ohio,Pandora,13915 Road 3,1,0,Adult
17.10.15,Georgia,Dallas,400 block of Fairview Drive,1,1,Adult
17.10.15,Illinois,Chicago,1000 block of North Francisco Avenue,1,0,Adult
17.10.15,Idaho,Meridian,2300 block of E. Franklin Road,1,0,Adult
23.11.16,West Virginia,Troy,Highway 47 West,1,0,Child
13.11.16,Colorado,Park (county),N/A,1,0,Child
13.11.16,Michigan,Ypsilanti,212 Stevens Drive,1,0,Child
12.11.16,Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,1,0,Child
04.11.16,Kansas,Kansas City,7569 State Avenue,1,0,Child
29.10.16,Ohio,Toledo,123 Rockingham Street,1,0,Child
27.10.16,Missouri,Kansas City,18th and Topping,1,0,Child
20.10.16,California,Stockton,8926 Ledgewood Avenue,1,0,Child
13.10.16,Illinois,Waukegan,1100 block of Greenfield Avenue,1,0,Child
01.10.16,Georgia,Mcdonough,961 King Mill Road,1,0,Child
30.09.16,Wisconsin,Milwaukee,2100 block of North 15th Street,1,0,Child
28.09.16,Arizona,Avondale,525 E Harrison Dr,1,0,Child
18.09.16,Florida,Palm Beach Gardens (Riviera Beach),1200 block of West 32nd Street,1,0,Child
18.09.16,Florida,Tampa,6727 S. Lois Ave.,1,0,Child
12.09.16,Pennsylvania,Quakertown,2100 block of Kumry Road,1,0,Child
11.09.16,Kentucky,Louisville,1600 block of Brashear Drive,1,0,Child
01.09.16,South Carolina,Columbia,228 Meredith Square,1,2,Child
28.08.16,Kentucky,Louisville,3015 Penway Ave,1,0,Child
25.08.16,Tennessee,Parrottsville,Shenandoah Way,1,0,Child
18.08.16,Montana,Belgrade,1005 Cardinal Dr,1,0,Child
15.08.16,Mississippi,Byhalia,95 Rebecca Drive,1,0,Child
14.08.16,Iowa,Garner,2194 Sioux Ave,1,0,Child
13.08.16,Virginia,Danville,800 block of Edmonds Street,1,0,Child
08.08.16,Tennessee,Hendersonville,118 Shady View Drive,1,0,Child
06.08.16,Idaho,Weiser,Macomb Road,1,0,Child
02.08.16,South Carolina,Coward,4312 Circle Drive,1,1,Child
02.08.16,Louisiana,Marrero,2000 block of Fernando Court,1,0,Child
31.07.16,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,Child
26.07.16,Texas,Houston,9700 block of Shady Tree Ln,1,0,Child
20.07.16,Georgia,Jones (county),113 Horseshoe Bend Court,1,0,Child
18.07.16,South Carolina,Gaston,2400 block of Glenn Road,1,0,Child
16.07.16,Ohio,Cincinnati,6200 block of Chandler Street,1,0,Child
15.07.16,Florida,Port Orange,829 Hudson Lane,1,0,Child
14.07.16,Alabama,Leighton,1500 block of Hwy 157,1,0,Child
14.07.16,Colorado,Steamboat Springs,N/A,1,0,Child
11.07.16,Texas,Marion (county),Monica Drive,1,0,Child
08.07.16,Michigan,Alma,Penrith Avenue,1,0,Child
03.07.16,Kentucky,Lowmansville,July Drive,1,0,Child
02.07.16,California,Lemoore,800 block of Dogwood Avenue,1,0,Child
01.07.16,Tennessee,Clarksville,874 Samantha Lane,1,0,Child
25.06.16,New Jersey,East Orange,112 Norman Street,1,0,Child
23.06.16,Pennsylvania,Philadelphia,1800 block of N 20th Street,1,0,Child
20.06.16,Colorado,Conejos (county),N/A,1,0,Child
17.06.16,Iowa,Elgin,210 Main Street,1,0,Child
03.06.16,Colorado,Aurora,1575 Galena Street,1,0,Child
26.05.16,Virginia,Roanoke,2000 block of Carroll Avenue NW,1,0,Child
21.05.16,Louisiana,La Place (Laplace),19 Country Club Dr,1,0,Child
20.05.16,Alabama,Horton,Welcome Home Church Road,1,0,Child
20.05.16,Illinois,Barry,186 E 2700th St,1,0,Child
12.05.16,Ohio,Hilliard,5100 block of Scioto Darby Road,1,0,Child
10.05.16,Michigan,Detroit,19700 block of Oakfield Street,1,0,Child
01.05.16,Indiana,Indianapolis,Gale and Vermont,1,0,Child
26.04.16,Georgia,Dallas,Camp Circle and Dallas Acworth Highway,1,0,Child
26.04.16,Wisconsin,Milwaukee,U.S. 41/Highway 175,1,0,Child
22.04.16,Louisiana,Natchitoches,600 block of Sabine Alley,1,0,Child
21.04.16,Missouri,Kansas City,2600 block of Lawn Avenue,1,0,Child
20.04.16,Indiana,Indianapolis,5200 block of Alameda Road,1,0,Child
16.04.16,Pennsylvania,Philadelphia,200 block of E. Mayfield Street,1,0,Child
20.03.16,Illinois,Chicago (Englewood),6700 block of S. Aberdeen St.,1,0,Child
19.03.16,Texas,Palestine,300 block of Anderson County Road 1370,1,0,Child
11.03.16,Georgia,Norcross,4900 block of Appaloosa Trail,1,0,Child
01.03.16,Florida,Sanford,Highlawn Avenue,1,0,Child
29.02.16,Tennessee,Apison,4724 Gates Lane,1,0,Child
26.02.16,Indiana,Sunman,Van Wedding Road,1,0,Child
21.02.16,Indiana,Hartsville,200 block of Clinton Street,1,0,Child
21.02.16,Florida,Fountain,11601 Nonawood Road,1,0,Child
16.02.16,Texas,Lubbock,2538 71st St,1,0,Child
06.02.16,Alabama,Birmingham (Irondale),2000 block of Monroe Drive,1,0,Child
30.01.16,Maryland,Baltimore,400 block of N. Athol Avenue,1,0,Child
25.01.16,Tennessee,Crossville,2009 N Main St,1,0,Child
23.01.16,Alaska,Iliamna (Kokhanok),N/A,1,0,Child
20.01.16,Michigan,Flint,1300 block of Columbia Lane,1,0,Child
20.01.16,Louisiana,New Orleans,5600 block of Red Maple Drive,1,0,Child
19.01.16,Texas,Cypress,15400 block of Redbud Berry Way,1,0,Child
10.01.16,North Carolina,Lumberton,2200 block of Martin Luther King Jr. Drive,1,0,Child
09.01.16,Kentucky,Louisville,400 block of N. 34th Street,1,0,Child
04.01.16,Tennessee,Memphis,1400 block of Briercrest Lane,2,1,Child
04.01.16,Colorado,Trinidad,806 E. Goddard Avenue,1,0,Child
28.12.15,Alaska,Bethel,N/A,1,0,Child
11.12.15,Kansas,South Hutchinson,107 East Avenue B,1,0,Child
09.12.15,Texas,Dallas,4900 block of South Buckner Boulevard,1,0,Child
04.12.15,Utah,Spanish Fork (Lake Shore),N/A,1,0,Child
28.11.15,New York,Rome,519 West Dominick,1,0,Child
28.11.15,Georgia,Atlanta,1041 Martin Street SE,1,0,Child
21.11.15,Tennessee,Goodlettsville,452 Moss Trail,1,0,Child
18.11.15,Arkansas,Little Rock,3401 Lamar Street,1,0,Child
17.11.15,Arkansas,Benton,Nelson Court,1,0,Child
15.11.15,South Carolina,Rock Hill,Amelia Avenue,1,0,Child
11.11.15,Georgia,Jackson,500 block of Carr Avenue,1,0,Child
09.11.15,Michigan,Detroit,6600 block of Barton Street,1,0,Child
27.10.15,Georgia,Acworth,1059 Athena Court,1,0,Child
26.10.15,North Carolina,Hendersonville,158 Golden Eagle Way,1,0,Child
17.10.15,Georgia,Dallas,400 block of Fairview Drive,1,1,Child
17.10.15,Illinois,Chicago,1000 block of North Francisco Avenue,1,0,Child
10.10.15,Utah,Cache (county),N/A,1,0,Child
02.10.15,Ohio,Carrollton,8400 block of Bay Road,1,0,Child
02.09.15,Illinois,Chicago,7400 block of South St. Lawrence Avenue,1,0,Child
01.09.15,Pennsylvania,Pittsburgh,1600 block of Sandusky Court,1,0,Child
25.08.15,Missouri,Saint Louis (Hanley Hills),7700 block of Utica Drive,1,0,Child
23.08.15,Virginia,Hardy,Heatherton Lane,1,0,Child
18.08.15,Alabama,Birmingham (Hoover),990 Wisteria Pl,1,0,Child
05.08.15,Alaska,Anchorage,4000 block of Olympic Terrace Circle,1,0,Child
03.08.15,Michigan,Detroit,16000 block of Eastwood Street,1,0,Child
03.08.15,Texas,Longview,2500 block of North Eastman Road,1,0,Child
30.07.15,Texas,Houston,8442 Tavenor Lane,1,0,Child
29.07.15,District of Columbia,Washington,600 block of 46th Place SE,1,0,Child
23.07.15,Michigan,Antrim (county),Tobias Road,1,0,Child
17.07.15,Louisiana,Shreveport,200 block of Prospect Street,1,0,Child
15.07.15,Missouri,Kansas City,3100 block of Spruce,1,0,Child
05.07.15,Texas,Spring,19000 block of Puget Lane,1,0,Child
02.07.15,Virginia,Hampton,300 block of West Chamberlin Avenue,1,0,Child
28.06.15,Michigan,Franklin,12919 Tipton Highway,1,0,Child
27.06.15,Montana,Saint Marie,308B Willow,1,0,Child
13.06.15,Texas,Wise (county),County Road 4010,1,0,Child
11.06.15,Ohio,Hamilton,709 Gordon Smith Boulevard,1,0,Child
10.06.15,California,Adelanto,1800 block of Bellflower Street,1,0,Child
09.06.15,Tennessee,Memphis,4300 block of Egyptian Cove,1,0,Child
30.05.15,Alaska,Ambler,N/A,1,0,Child
30.05.15,Texas,Abilene,500 block of Washington Street,1,0,Child
25.05.15,South Dakota,Brown (county),N/A,1,0,Child
25.05.15,New York,Yonkers,484 Walnut St,1,0,Child
25.05.15,Virginia,Meherrin,Doswell Town Road,1,0,Child
23.05.15,Mississippi,Jackson,Glencross Drive,1,0,Child
16.05.15,California,Perris,140 block of Metz Road,1,0,Child
15.05.15,Arkansas,Redfield,1107 Huck Finn Blvd,1,0,Child
03.05.15,Florida,Panama City,1914 Frankford Ave,1,0,Child
03.05.15,Louisiana,Shreveport,400 block of Pete Harris Drive,1,0,Child
30.04.15,Georgia,Macon,6381 Thomaston Road,1,0,Child
29.04.15,Georgia,Augusta,1200 block of Holden Drive,1,0,Child
18.04.15,Texas,Killeen,3600 block of Del Mar Court,1,0,Child
12.04.15,Ohio,Cleveland,3700 block of E. 63,1,0,Child
31.03.15,Tennessee,Madison,333 Rio Vista Drive,1,0,Child
29.03.15,Georgia,Jefferson,300 block of Fairfield Drive,1,0,Child
19.03.15,Texas,Houston,14425 Alief Clodine Rd,1,0,Child
19.03.15,Texas,Houston,6301 Sierra Blanca,1,0,Child
17.03.15,Oklahoma,Comanche,Highway 81,1,0,Child
13.03.15,Michigan,Flint,1800 block of Barks Street,1,0,Child
13.03.15,Kentucky,Louisville,3400 block of Algonquin Parkway,1,0,Child
06.03.15,Tennessee,Nashville,3024 Gwynwood Drive,1,0,Child
05.03.15,Oregon,Malin,9425 Matney Way,1,0,Child
04.03.15,Alaska,Shungnak,N/A,1,0,Child
01.03.15,Texas,Houston,1900 block of Imperial Stone Dr.,1,0,Child
27.02.15,Texas,Houston,7400 block of Betanna,1,0,Child
15.02.15,Alabama,Gaylesville,County Road 865,1,2,Child
10.02.15,Ohio,Dalton,South Mount Eaton Road,1,0,Child
09.02.15,Louisiana,Lake Charles,Arsene Road,1,0,Child
21.01.15,Michigan,Benton Harbor,1600 block of Norton St,1,0,Child
21.01.15,Florida,Tarpon Springs,1094 Misty Hollow Lane,1,0,Child
31.12.14,Alabama,Montgomery,1700 block of Yarborough Street,1,0,Child
30.12.14,Idaho,Hayden,550 W Honeysuckle Ave,1,0,Child
29.12.14,Michigan,Detroit,11200 block of Roxbury St,1,0,Child
29.12.14,Michigan,Detroit,11200 block of Roxbury Street,1,0,Child
15.12.14,South Carolina,Simpsonville,Garfield Lane,1,0,Child
06.12.14,Oklahoma,Atoka,Wells St,1,0,Child
05.12.14,Illinois,Villa Park,N/A,1,0,Child
28.11.14,Texas,Childress,N/A,1,0,Child
25.11.14,Texas,Katy,4302 Falcon Meadow,1,0,Child
24.11.14,Oklahoma,Tulsa,100 block of South 168th East Avenue,1,0,Child
20.11.14,Indiana,Elkhart,2100 block of Morton Avenue,1,0,Child
15.11.14,Virginia,Norfolk,800 block of B Avenue,1,0,Child
08.11.14,Michigan,Detroit,16100 block of Northlawn Ave,1,0,Child
02.11.14,Ohio,Cincinnati,200 block of Kinsey Avenue,1,0,Child
22.10.14,Montana,Charlo,Eagle Trail Pass,1,0,Child
17.10.14,Tennessee,Buchanan,Mt Pleasant Freeland Rd,1,0,Child
11.10.14,Louisiana,Benton,200 block of Retha Lane,1,0,Child
13.09.14,South Carolina,Denmark,East Mill Street,1,0,Child
05.09.14,Virginia,Richmond,1500 block of Mechanicsville Turnpike,1,0,Child
25.08.14,Arizona,Willow Beach (White Hills),20606 US 93,1,0,Child
17.08.14,Tennessee,Clarksville,2600 block of Arthurs Court,1,0,Child
10.08.14,Tennessee,Sparta,8504 Old Kentucky Rd,1,0,Child
06.08.14,Oklahoma,Hobart,200 block of Monroe,1,0,Child
30.07.14,Idaho,Chubbuck,600 block of Canal Street,1,0,Child
29.07.14,Kansas,Wichita,500 block of East Lincoln,1,0,Child
02.07.14,Alabama,Birmingham (Midfield),N/A,1,0,Child
02.07.14,Arizona,Phoenix,363rd and Durango,1,0,Child
01.06.14,Missouri,Joplin,11319 Hwy FF  (32nd St),1,0,Child
27.05.14,Arizona,Payson,303 S. Ash Street,1,0,Child
25.05.14,Florida,Homestead,Northwest Fourth Street and Eighth Avenue,1,0,Child
24.05.14,Vermont,Cabot,Vermont 215,1,0,Child
24.05.14,Texas,Boerne,100 block of Becker Street,1,0,Child
05.05.14,Georgia,Johnson Corner,N/A,1,0,Child
03.05.14,Pennsylvania,Dingmans Ferry,123 Keystone Dr,1,0,Child
29.04.14,Kansas,Wichita,1300 block of North Pennsylvania Avenue,1,0,Child
28.04.14,North Carolina,Durham,Macon Street and Washington,1,0,Child
26.04.14,Indiana,Noble County,5000 W. County Road 1100,1,0,Child
25.04.14,North Carolina,Fayetteville,2101 Hyde Place,1,0,Child
21.04.14,Iowa,Des Moines,2746 Fleur Dr.,1,0,Child
17.04.14,South Carolina,Easley,Hasting Road,1,0,Child
13.04.14,North Carolina,Charlotte,700 Glasgow Road,1,0,Child
12.04.14,South Carolina,Gaston,Wild Bird Lane,1,1,Child
05.04.14,Pennsylvania,Philadelphia,3800 Wallace Street,1,0,Child
04.04.14,Georgia,Savannah,1400 Church Street,1,0,Child
04.04.14,Georgia,Waycross,4900 Jana Lane,1,0,Child
03.04.14,Oklahoma,Bokoshe,Buck Creek Road,1,0,Child
18.03.14,Utah,Richfield,Main Street near 500 South,0,1,Child
11.03.14,Indiana,Greensburg,1000 block of North Carver Street,1,0,Child
11.03.14,Oklahoma,Broken Arrow,3500 block of East Aurora,1,0,Child
10.03.14,Texas,Eureka,SE 3144,1,0,Child
05.03.14,Alabama,Mobile,2600 block of Wealthy Street,1,0,Child
01.03.14,Florida,Pensacola,1500 block of Fairfield Dr,1,0,Child
17.02.14,Arkansas,El Dorado,Shuler Road,1,0,Child
13.02.14,Florida,Lake Worth,1200 block of North O Street,1,0,Child
07.02.14,Massachusetts,Boston,617 Morton St.,1,0,Child
29.01.14,North Carolina,Snow Hill,15 Letchworth Drive,1,0,Child
11.01.14,Arkansas,Bono,1187 Greene Rd 336,1,0,Child
01.01.14,Mississippi,Bogue Chitto,1347 Brumfield Rd SW,1,0,Child
22.11.16,Indiana,Anderson,1600 block of West 7th Street,1,0,Teen
22.11.16,Virginia,Christiansburg,700 block of Dabney Road,1,0,Teen
12.11.16,Colorado,La Salle,18000 block of County Road 43,1,0,Teen
11.11.16,Oklahoma,Fort Towson,N/A,1,0,Teen
08.11.16,Virginia,Hampton,500 block of Pennsylvania Ave,1,0,Teen
07.11.16,Pennsylvania,New Kensington (Arnold),1417 Orchard Ave,1,0,Teen
06.11.16,Georgia,Atlanta,1800 block of Charleston Avenue,1,0,Teen
30.10.16,Pennsylvania,Norristown,600 block of George Street,1,0,Teen
22.10.16,Louisiana,Larose,East Avenue C,1,0,Teen
16.10.16,Washington,Yacolt,34900 block of NE Thompson Road,1,0,Teen
16.10.16,North Dakota,Bismarck,106th St SE,1,0,Teen
11.10.16,Georgia,Acworth,4800 block of Ryan Road,1,0,Teen
09.10.16,South Carolina,Aynor,Garner Road,1,0,Teen
07.10.16,Georgia,Richmond (county),Done Roven Road,1,0,Teen
03.10.16,North Dakota,Sanborn,N/A,1,0,Teen
29.09.16,Texas,Fort Worth,3712 North Elm Street,1,0,Teen
27.09.16,Iowa,Cedar Rapids,800 block of 15th Street SE,1,0,Teen
22.09.16,Maryland,Bladensburg,4200 block of 58th Avenue,1,0,Teen
17.09.16,Alaska,Juneau,3000 block of Mountainwood Circle,1,0,Teen
14.09.16,Texas,Bexar (county),N/A,1,0,Teen
08.09.16,California,Rosamond,2600 block of 25th Street West,1,0,Teen
05.09.16,Texas,San Benito,200 block of Los Ranchitos,1,0,Teen
05.09.16,Michigan,Kalamazoo,1500 block of Clinton Avenue,2,0,Teen
28.08.16,Kentucky,Louisville,3015 Penway Ave,1,0,Teen
27.08.16,Texas,San Benito,500 block of Doherty Street,1,0,Teen
15.08.16,Florida,Naples,1900 Tamiami Trail N,1,0,Teen
12.08.16,Pennsylvania,Mountville,17 West Main Street,1,0,Teen
06.08.16,North Carolina,Shelby,105 Lindsey Lee Ln,1,0,Teen
05.08.16,Illinois,Chicago,2700 block of West Evergreen Avenue,1,0,Teen
02.08.16,South Carolina,Coward,4312 Circle Drive,1,1,Teen
02.08.16,Ohio,Columbus,400 block of East Markison Avenue,1,0,Teen
01.08.16,Oklahoma,Ardmore,1200 block of L Street,1,0,Teen
31.07.16,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,1,0,Teen
30.07.16,New York,Elmira,200 block of West Hudson Street,1,0,Teen
26.07.16,Texas,San Antonio,3600 block of Callaghan Road,1,0,Teen
25.07.16,Arizona,Tempe,1000 E Orange Street,1,0,Teen
22.07.16,Indiana,Huntingburg,202 N. Main St.,1,0,Teen
19.07.16,Texas,Alvin,3400 block of Oxford,1,0,Teen
15.07.16,Florida,Tallahassee,2684 Tess Circle,1,0,Teen
15.07.16,Texas,Houston,Sageland Drive,1,0,Teen
08.07.16,Texas,Mineral Wells,2600 block of S.W 8th Avenue,1,0,Teen
06.07.16,Alabama,Toney,2500 block of Alabama 251,1,0,Teen
03.07.16,Florida,Sarasota,4583 Bee Ridge Road,1,0,Teen
03.07.16,Tennessee,Chattanooga (East Ridge),201 Eads Street,1,0,Teen
29.06.16,Pennsylvania,Philadelphia,5300 block of E Walnut Lane,1,0,Teen
28.06.16,Texas,San Antonio,8600 block of Star Creek Drive,1,0,Teen
27.06.16,Arizona,Phoenix,1600 block of West Missouri Avenue,1,0,Teen
22.06.16,Indiana,Indianapolis,3300 block of Wallace Avenue,1,0,Teen
22.06.16,Georgia,Adel,800 block of Guy Street,1,0,Teen
17.06.16,Pennsylvania,Pittsburgh,4290 Melwood Ave,1,0,Teen
13.06.16,West Virginia,Fairmont,Cleveland Avenue,1,0,Teen
11.06.16,Louisiana,Baton Rouge,3500 block of Wayne Avenue,1,0,Teen
07.06.16,Michigan,Detroit,5300 block of Radnor,1,0,Teen
06.06.16,Georgia,Hawkinsville,18 Franklin Street,1,0,Teen
06.06.16,Maryland,Annapolis,1300 block of Tyler Avenue,1,0,Teen
03.06.16,Missouri,Saint Louis,9500 block of Page Ave,1,0,Teen
03.06.16,Colorado,Aurora,1575 Galena Street,1,0,Teen
03.06.16,Illinois,Chicago,3500 block of South Parnell Avenue,1,0,Teen
25.05.16,Washington,Seattle,6000 block of High Point Drive SW,1,0,Teen
19.05.16,New York,Bronx,810 Astor Avenue,1,0,Teen
14.05.16,Florida,Alford,Compass Lake Drive,1,0,Teen
10.05.16,Louisiana,Shreveport,1100 block of Wilkinson Street,1,0,Teen
19.04.16,California,Sacramento,7800 block of Sunrise Greens Drive,1,0,Teen
14.04.16,California,Victorville,13000 block of Bennington Drive,1,0,Teen
10.04.16,North Carolina,Granite Falls,Baton Church Road,1,0,Teen
02.04.16,South Carolina,Rock Hill,800 block of Horseman Drive,1,0,Teen
31.03.16,North Carolina,La Grange,Mimosa Lane and Maple Grove Dr,1,0,Teen
28.03.16,Georgia,Douglas,900 block of South Coffee Avenue,1,0,Teen
27.03.16,Mississippi,Brookhaven,Highway 550,1,0,Teen
