Incident Date,State,City Or County,Address,Full Address,Lat,Lng,Killed,Injured,AgeGroup
191115,Virginia,Bohannon,The Long Ln and Myrtle Grove Ln,Virginia Bohannon The Long Ln and Myrtle Grove Ln,37.3850985,-76.3515547,1,0,Adult
191115,Florida,Saint Lucie ,7160 Maidstone Dr.,Florida Saint Lucie  7160 Maidstone Dr.,27.3338898,-80.4160255,1,0,Adult
191115,Louisiana,Saint Gabriel ,Stassi Rd.,Louisiana Saint Gabriel  Stassi Rd.,30.2576953,-91.0992706,1,0,Adult
181115,Arkansas,Little Rock,3401 Lamar Street,Arkansas Little Rock 3401 Lamar Street,34.7445792,-92.3112441,1,0,Adult
171115,Arkansas,Benton,Nelson Court,Arkansas Benton Nelson Court,34.5563708,-92.5592317,1,0,Adult
161115,Oregon,Albany,Millersburg Dr NE and Sedona Rd,Oregon Albany Millersburg Dr NE and Sedona Rd,44.698322,-123.0751388,1,0,Adult
161115,Maine,Bath,Route 1,Maine Bath Route 1,43.9105254,-69.8205584,1,0,Adult
151115,Pennsylvania,York,200 block of North Richland Avenue,Pennsylvania York 200 block of North Richland Avenue,39.9569119,-76.7505694,1,0,Adult
151115,South Carolina,Rock Hill,Amelia Avenue,South Carolina Rock Hill Amelia Avenue,34.9574005,-81.02254,1,0,Adult
141115,South Dakota,Rosebud (Yankton Indian Reservation),N/A,South Dakota Rosebud (Yankton Indian Reservation) N/A,43.083327,-98.383691,1,0,Adult
141115,Arkansas,Lockesburg,376 Arkansas 24,Arkansas Lockesburg 376 Arkansas 24,33.9687879,-94.1908121,1,0,Adult
121115,New York,Bronx,363 East 171st Street,New York Bronx 363 East 171st Street,40.8386882,-73.9093597,1,0,Adult
111115,Georgia,Jackson,500 block of Carr Avenue,Georgia Jackson 500 block of Carr Avenue,33.2910522,-83.9478631,1,0,Adult
91115,Michigan,Detroit,6600 block of Barton Street,Michigan Detroit 6600 block of Barton Street,42.3493682,-83.1378007,1,0,Adult
71115,Florida,Tampa,Church Avenue,Florida Tampa Church Avenue,27.9094573,-82.5081661,1,0,Adult
71115,Wisconsin,De Pere,1107 Chicago Street,Wisconsin De Pere 1107 Chicago Street,44.446019,-88.052147,1,0,Adult
71115,California,Los Angeles,3500 block of Cesar Chavez Avenue,California Los Angeles 3500 block of Cesar Chavez Avenue,34.040385,-118.1890977,1,0,Adult
41115,Nebraska,Imperial,N/A,Nebraska Imperial N/A,40.5169402,-101.6432253,1,0,Adult
21115,Connecticut,Stamford,Merrell Avenue,Connecticut Stamford Merrell Avenue,41.0543571,-73.5550132,1,0,Adult
21115,Tennessee,Clarksville,400 block of Georgetown Road,Tennessee Clarksville 400 block of Georgetown Road,36.5222172,-87.2969104,1,0,Adult
11115,Alabama,Talladega,Jackson Trace Road,Alabama Talladega Jackson Trace Road,33.4634704,-86.1079591,1,0,Adult
311015,Illinois,Aurora,1300 block of Valayna Drive,Illinois Aurora 1300 block of Valayna Drive,41.7318424,-88.2453007,1,0,Adult
311015,Indiana,Decatur,7400 N. Monmouth Road,Indiana Decatur 7400 N. Monmouth Road,40.852793,-84.931449,1,0,Adult
301015,Texas,Houston,16410 North Freeway,Texas Houston 16410 North Freeway,30.0054483,-95.426109,1,0,Adult
271015,Georgia,Acworth,1059 Athena Court,Georgia Acworth 1059 Athena Court,34.0762958,-84.6366103,1,0,Adult
261015,North Carolina,Pitt (county),Stantonsburg Road.,North Carolina Pitt (county) Stantonsburg Road.,35.6078965,-77.538158,1,0,Adult
261015,North Carolina,Hendersonville,158 Golden Eagle Way,North Carolina Hendersonville 158 Golden Eagle Way,35.2442308,-82.553835,1,0,Adult
261015,New York,Buffalo,N/A,New York Buffalo N/A,42.8542866,-78.8209944,1,0,Adult
261015,Virginia,Chesterfield,8700 block of Hull Street Road,Virginia Chesterfield 8700 block of Hull Street Road,37.4545701,-77.5566581,1,0,Adult
261015,Illinois,Decatur,100 block of South Calhoun Street,Illinois Decatur 100 block of South Calhoun Street,39.8416953,-88.943356,1,0,Adult
251015,Colorado,Colorado Springs,2800 block of Concord Street,Colorado Colorado Springs 2800 block of Concord Street,38.8723765,-104.824276,1,0,Adult
241015,South Dakota,Sioux Falls,4425 W. Briggs Drive,South Dakota Sioux Falls 4425 W. Briggs Drive,43.5885465,-96.7866985,1,0,Adult
241015,Arkansas,Jefferson (county),N/A,Arkansas Jefferson (county) N/A,34.227351,-91.9099238,1,0,Adult
231015,Louisiana,Alexandria,N/A,Louisiana Alexandria N/A,31.3112936,-92.4451371,1,0,Adult
221015,Kansas,Wichita,800 block of S. San Pablo,Kansas Wichita 800 block of S. San Pablo,37.6729774,-97.2540395,1,0,Adult
191015,California,Stockton,3300 block of Zamora Way,California Stockton 3300 block of Zamora Way,37.9218834,-121.2548951,1,0,Adult
191015,Illinois,Champaign,600 block of West Beardsley Avenue,Illinois Champaign 600 block of West Beardsley Avenue,40.1266118,-88.252097,1,1,Adult
191015,Texas,Donna,500 block of South 25th Street,Texas Donna 500 block of South 25th Street,26.1614183,-98.0386278,1,0,Adult
181015,Illinois,Effingham,3200 block of South Banker Street,Illinois Effingham 3200 block of South Banker Street,39.0827308,-88.5466703,1,0,Adult
171015,Ohio,Pandora,13915 Road 3,Ohio Pandora 13915 Road 3,40.9802737,-83.9184485,1,0,Adult
171015,Georgia,Dallas,400 block of Fairview Drive,Georgia Dallas 400 block of Fairview Drive,33.929123,-84.9845964,1,1,Adult
171015,Illinois,Chicago,1000 block of North Francisco Avenue,Illinois Chicago 1000 block of North Francisco Avenue,41.8993783,-87.6995752,1,0,Adult
171015,Idaho,Meridian,2300 block of E. Franklin Road,Idaho Meridian 2300 block of E. Franklin Road,43.6055951,-116.3654827,1,0,Adult
231116,West Virginia,Troy,Highway 47 West,West Virginia Troy Highway 47 West,39.0079741,-80.7190649,1,0,Child
131116,Colorado,Park (county),N/A,Colorado Park (county) N/A,39.0897928,-105.5943388,1,0,Child
131116,Michigan,Ypsilanti,212 Stevens Drive,Michigan Ypsilanti 212 Stevens Drive,42.2352377,-83.6373784,1,0,Child
121116,Colorado,Grand Junction (Fruitvale),3060 Sandpiper Avenue,Colorado Grand Junction (Fruitvale) 3060 Sandpiper Avenue,39.065739,-108.4849384,1,0,Child
41116,Kansas,Kansas City,7569 State Avenue,Kansas Kansas City 7569 State Avenue,39.1159134,-94.7556587,1,0,Child
291016,Ohio,Toledo,123 Rockingham Street,Ohio Toledo 123 Rockingham Street,41.6747414,-83.548179,1,0,Child
271016,Missouri,Kansas City,18th and Topping,Missouri Kansas City 18th and Topping,39.174378,-94.5110548,1,0,Child
201016,California,Stockton,8926 Ledgewood Avenue,California Stockton 8926 Ledgewood Avenue,38.0312731,-121.2860837,1,0,Child
131016,Illinois,Waukegan,1100 block of Greenfield Avenue,Illinois Waukegan 1100 block of Greenfield Avenue,42.3394806,-87.847294,1,0,Child
11016,Georgia,Mcdonough,961 King Mill Road,Georgia Mcdonough 961 King Mill Road,33.4069412,-84.1078655,1,0,Child
300916,Wisconsin,Milwaukee,2100 block of North 15th Street,Wisconsin Milwaukee 2100 block of North 15th Street,43.057942,-87.9314579,1,0,Child
280916,Arizona,Avondale,525 E Harrison Dr,Arizona Avondale 525 E Harrison Dr,33.427779,-112.341964,1,0,Child
180916,Florida,Palm Beach Gardens (Riviera Beach),1200 block of West 32nd Street,Florida Palm Beach Gardens (Riviera Beach) 1200 block of West 32nd Street,26.788655,-80.0725269,1,0,Child
180916,Florida,Tampa,6727 S. Lois Ave.,Florida Tampa 6727 S. Lois Ave.,27.8711152,-82.5161054,1,0,Child
120916,Pennsylvania,Quakertown,2100 block of Kumry Road,Pennsylvania Quakertown 2100 block of Kumry Road,40.4147226,-75.3984332,1,0,Child
110916,Kentucky,Louisville,1600 block of Brashear Drive,Kentucky Louisville 1600 block of Brashear Drive,38.2260129,-85.7755169,1,0,Child
10916,South Carolina,Columbia,228 Meredith Square,South Carolina Columbia 228 Meredith Square,34.0593371,-80.9402908,1,2,Child
280816,Kentucky,Louisville,3015 Penway Ave,Kentucky Louisville 3015 Penway Ave,38.2234897,-85.8072798,1,0,Child
250816,Tennessee,Parrottsville,Shenandoah Way,Tennessee Parrottsville Shenandoah Way,36.0299089,-83.0891762,1,0,Child
180816,Montana,Belgrade,1005 Cardinal Dr,Montana Belgrade 1005 Cardinal Dr,45.7940701,-111.1833774,1,0,Child
150816,Mississippi,Byhalia,95 Rebecca Drive,Mississippi Byhalia 95 Rebecca Drive,34.7309709,-89.680503,1,0,Child
140816,Iowa,Garner,2194 Sioux Ave,Iowa Garner 2194 Sioux Ave,43.0831361,-93.6065541,1,0,Child
130816,Virginia,Danville,800 block of Edmonds Street,Virginia Danville 800 block of Edmonds Street,36.5601823,-79.4152177,1,0,Child
80816,Tennessee,Hendersonville,118 Shady View Drive,Tennessee Hendersonville 118 Shady View Drive,36.3259345,-86.6312658,1,0,Child
60816,Idaho,Weiser,Macomb Road,Idaho Weiser Macomb Road,44.1990409,-116.9224135,1,0,Child
20816,South Carolina,Coward,4312 Circle Drive,South Carolina Coward 4312 Circle Drive,33.963731,-79.7336561,1,1,Child
20816,Louisiana,Marrero,2000 block of Fernando Court,Louisiana Marrero 2000 block of Fernando Court,29.8776321,-90.1253487,1,0,Child
310716,Alabama,Birmingham (Homewood),1301 Lakeshore Dr.,Alabama Birmingham (Homewood) 1301 Lakeshore Dr.,33.4629737,-86.7901062,1,0,Child
260716,Texas,Houston,9700 block of Shady Tree Ln,Texas Houston 9700 block of Shady Tree Ln,29.9217536,-95.5034368,1,0,Child
200716,Georgia,Jones (county),113 Horseshoe Bend Court,Georgia Jones (county) 113 Horseshoe Bend Court,32.9271537,-83.6714317,1,0,Child
180716,South Carolina,Gaston,2400 block of Glenn Road,South Carolina Gaston 2400 block of Glenn Road,33.8756453,-81.1076154,1,0,Child
160716,Ohio,Cincinnati,6200 block of Chandler Street,Ohio Cincinnati 6200 block of Chandler Street,39.16364,-84.389346,1,0,Child
150716,Florida,Port Orange,829 Hudson Lane,Florida Port Orange 829 Hudson Lane,29.1475478,-81.0114395,1,0,Child
140716,Alabama,Leighton,1500 block of Hwy 157,Alabama Leighton 1500 block of Hwy 157,34.6752067,-87.5719274,1,0,Child
140716,Colorado,Steamboat Springs,N/A,Colorado Steamboat Springs N/A,40.4833918,-106.8294451,1,0,Child
110716,Texas,Marion (county),Monica Drive,Texas Marion (county) Monica Drive,32.7998026,-94.5588019,1,0,Child
80716,Michigan,Alma,Penrith Avenue,Michigan Alma Penrith Avenue,43.3731439,-84.6515734,1,0,Child
30716,Kentucky,Lowmansville,July Drive,Kentucky Lowmansville July Drive,37.9209213,-82.7320047,1,0,Child
20716,California,Lemoore,800 block of Dogwood Avenue,California Lemoore 800 block of Dogwood Avenue,36.3087194,-119.806044,1,0,Child
10716,Tennessee,Clarksville,874 Samantha Lane,Tennessee Clarksville 874 Samantha Lane,36.6308477,-87.3050691,1,0,Child
250616,New Jersey,East Orange,112 Norman Street,New Jersey East Orange 112 Norman Street,40.778963,-74.203596,1,0,Child
230616,Pennsylvania,Philadelphia,1800 block of N 20th Street,Pennsylvania Philadelphia 1800 block of N 20th Street,39.981449,-75.1670825,1,0,Child
200616,Colorado,Conejos (county),N/A,Colorado Conejos (county) N/A,ZERO_RESULTS,ZERO_RESULTS,1,0,Child
170616,Iowa,Elgin,210 Main Street,Iowa Elgin 210 Main Street,42.9569572,-91.6290806,1,0,Child
30616,Colorado,Aurora,1575 Galena Street,Colorado Aurora 1575 Galena Street,39.7415243,-104.8695652,1,0,Child
260516,Virginia,Roanoke,2000 block of Carroll Avenue NW,Virginia Roanoke 2000 block of Carroll Avenue NW,37.2896716,-79.9680202,1,0,Child
210516,Louisiana,La Place (Laplace),19 Country Club Dr,Louisiana La Place (Laplace) 19 Country Club Dr,30.0866084,-90.4891575,1,0,Child
200516,Alabama,Horton,Welcome Home Church Road,Alabama Horton Welcome Home Church Road,34.1800993,-86.3542876,1,0,Child
200516,Illinois,Barry,186 E 2700th St,Illinois Barry 186 E 2700th St,39.784291,-90.991868,1,0,Child
120516,Ohio,Hilliard,5100 block of Scioto Darby Road,Ohio Hilliard 5100 block of Scioto Darby Road,40.0247987,-83.151548,1,0,Child
100516,Michigan,Detroit,19700 block of Oakfield Street,Michigan Detroit 19700 block of Oakfield Street,42.43563,-83.2148239,1,0,Child
10516,Indiana,Indianapolis,Gale and Vermont,Indiana Indianapolis Gale and Vermont,39.772942,-86.106241,1,0,Child
260416,Georgia,Dallas,Camp Circle and Dallas Acworth Highway,Georgia Dallas Camp Circle and Dallas Acworth Highway,33.9483119,-84.8062166,1,0,Child
260416,Wisconsin,Milwaukee,U.S. 41/Highway 175,Wisconsin Milwaukee U.S. 41/Highway 175,25.7674514,-80.1968207,1,0,Child
220416,Louisiana,Natchitoches,600 block of Sabine Alley,Louisiana Natchitoches 600 block of Sabine Alley,31.768394,-93.0919797,1,0,Child
210416,Missouri,Kansas City,2600 block of Lawn Avenue,Missouri Kansas City 2600 block of Lawn Avenue,39.07801,-94.529094,1,0,Child
200416,Indiana,Indianapolis,5200 block of Alameda Road,Indiana Indianapolis 5200 block of Alameda Road,39.8462696,-86.2179999,1,0,Child
160416,Pennsylvania,Philadelphia,200 block of E. Mayfield Street,Pennsylvania Philadelphia 200 block of E. Mayfield Street,39.9955291,-75.1272492,1,0,Child
200316,Illinois,Chicago (Englewood),6700 block of S. Aberdeen St.,Illinois Chicago (Englewood) 6700 block of S. Aberdeen St.,41.7723484,-87.6518864,1,0,Child
190316,Texas,Palestine,300 block of Anderson County Road 1370,Texas Palestine 300 block of Anderson County Road 1370,31.6519069,-95.6418667,1,0,Child
110316,Georgia,Norcross,4900 block of Appaloosa Trail,Georgia Norcross 4900 block of Appaloosa Trail,33.9393762,-84.1759322,1,0,Child
10316,Florida,Sanford,Highlawn Avenue,Florida Sanford Highlawn Avenue,28.7856664,-81.2817375,1,0,Child
290216,Tennessee,Apison,4724 Gates Lane,Tennessee Apison 4724 Gates Lane,35.0120412,-84.9932314,1,0,Child
260216,Indiana,Sunman,Van Wedding Road,Indiana Sunman Van Wedding Road,39.2208579,-85.0660359,1,0,Child
210216,Indiana,Hartsville,200 block of Clinton Street,Indiana Hartsville 200 block of Clinton Street,39.2675511,-85.6980357,1,0,Child
210216,Florida,Fountain,11601 Nonawood Road,Florida Fountain 11601 Nonawood Road,30.525388,-85.433211,1,0,Child
160216,Texas,Lubbock,2538 71st St,Texas Lubbock 2538 71st St,33.5303808,-101.8744029,1,0,Child
60216,Alabama,Birmingham (Irondale),2000 block of Monroe Drive,Alabama Birmingham (Irondale) 2000 block of Monroe Drive,33.5698057,-86.6298861,1,0,Child
300116,Maryland,Baltimore,400 block of N. Athol Avenue,Maryland Baltimore 400 block of N. Athol Avenue,39.2907086,-76.6893663,1,0,Child
250116,Tennessee,Crossville,2009 N Main St,Tennessee Crossville 2009 N Main St,35.9742551,-85.0391989,1,0,Child
230116,Alaska,Iliamna (Kokhanok),N/A,Alaska Iliamna (Kokhanok) N/A,59.4394444,-154.7761111,1,0,Child
200116,Michigan,Flint,1300 block of Columbia Lane,Michigan Flint 1300 block of Columbia Lane,43.0284176,-83.6911433,1,0,Child
200116,Louisiana,New Orleans,5600 block of Red Maple Drive,Louisiana New Orleans 5600 block of Red Maple Drive,30.0437119,-89.9347023,1,0,Child
190116,Texas,Cypress,15400 block of Redbud Berry Way,Texas Cypress 15400 block of Redbud Berry Way,30.002708,-95.752524,1,0,Child
100116,North Carolina,Lumberton,2200 block of Martin Luther King Jr. Drive,North Carolina Lumberton 2200 block of Martin Luther King Jr. Drive,34.6056865,-79.0259697,1,0,Child
90116,Kentucky,Louisville,400 block of N. 34th Street,Kentucky Louisville 400 block of N. 34th Street,38.266329,-85.8063994,1,0,Child
40116,Tennessee,Memphis,1400 block of Briercrest Lane,Tennessee Memphis 1400 block of Briercrest Lane,35.2244137,-90.0149543,2,1,Child
40116,Colorado,Trinidad,806 E. Goddard Avenue,Colorado Trinidad 806 E. Goddard Avenue,37.1840579,-104.4995436,1,0,Child
281215,Alaska,Bethel,N/A,Alaska Bethel N/A,60.7922222,-161.7558334,1,0,Child
111215,Kansas,South Hutchinson,107 East Avenue B,Kansas South Hutchinson 107 East Avenue B,38.0251395,-97.9377258,1,0,Child
91215,Texas,Dallas,4900 block of South Buckner Boulevard,Texas Dallas 4900 block of South Buckner Boulevard,32.7824468,-96.6827388,1,0,Child
41215,Utah,Spanish Fork (Lake Shore),N/A,Utah Spanish Fork (Lake Shore) N/A,40.1218985,-111.7304843,1,0,Child
281115,New York,Rome,519 West Dominick,New York Rome 519 West Dominick,43.2152951,-75.4677583,1,0,Child
281115,Georgia,Atlanta,1041 Martin Street SE,Georgia Atlanta 1041 Martin Street SE,33.7258404,-84.3836708,1,0,Child
211115,Tennessee,Goodlettsville,452 Moss Trail,Tennessee Goodlettsville 452 Moss Trail,36.3107102,-86.7067059,1,0,Child
181115,Arkansas,Little Rock,3401 Lamar Street,Arkansas Little Rock 3401 Lamar Street,34.7445792,-92.3112441,1,0,Child
171115,Arkansas,Benton,Nelson Court,Arkansas Benton Nelson Court,34.5563708,-92.5592317,1,0,Child
151115,South Carolina,Rock Hill,Amelia Avenue,South Carolina Rock Hill Amelia Avenue,34.9574005,-81.02254,1,0,Child
111115,Georgia,Jackson,500 block of Carr Avenue,Georgia Jackson 500 block of Carr Avenue,33.2910522,-83.9478631,1,0,Child
91115,Michigan,Detroit,6600 block of Barton Street,Michigan Detroit 6600 block of Barton Street,42.3493682,-83.1378007,1,0,Child
271015,Georgia,Acworth,1059 Athena Court,Georgia Acworth 1059 Athena Court,34.0762958,-84.6366103,1,0,Child
261015,North Carolina,Hendersonville,158 Golden Eagle Way,North Carolina Hendersonville 158 Golden Eagle Way,35.2442308,-82.553835,1,0,Child
171015,Georgia,Dallas,400 block of Fairview Drive,Georgia Dallas 400 block of Fairview Drive,33.929123,-84.9845964,1,1,Child
171015,Illinois,Chicago,1000 block of North Francisco Avenue,Illinois Chicago 1000 block of North Francisco Avenue,41.8993783,-87.6995752,1,0,Child
101015,Utah,Cache (county),N/A,Utah Cache (county) N/A,ZERO_RESULTS,ZERO_RESULTS,1,0,Child
21015,Ohio,Carrollton,8400 block of Bay Road,Ohio Carrollton 8400 block of Bay Road,40.5311336,-80.9865421,1,0,Child
20915,Illinois,Chicago,7400 block of South St. Lawrence Avenue,Illinois Chicago 7400 block of South St. Lawrence Avenue,41.76016,-87.610623,1,0,Child
10915,Pennsylvania,Pittsburgh,1600 block of Sandusky Court,Pennsylvania Pittsburgh 1600 block of Sandusky Court,40.4592486,-80.0056209,1,0,Child
250815,Missouri,Saint Louis (Hanley Hills),7700 block of Utica Drive,Missouri Saint Louis (Hanley Hills) 7700 block of Utica Drive,38.6827341,-90.3234947,1,0,Child
230815,Virginia,Hardy,Heatherton Lane,Virginia Hardy Heatherton Lane,37.1459247,-79.8008983,1,0,Child
180815,Alabama,Birmingham (Hoover),990 Wisteria Pl,Alabama Birmingham (Hoover) 990 Wisteria Pl,33.4044468,-86.7879397,1,0,Child
50815,Alaska,Anchorage,4000 block of Olympic Terrace Circle,Alaska Anchorage 4000 block of Olympic Terrace Circle,61.1558645,-149.8082201,1,0,Child
30815,Michigan,Detroit,16000 block of Eastwood Street,Michigan Detroit 16000 block of Eastwood Street,42.433729,-82.955461,1,0,Child
30815,Texas,Longview,2500 block of North Eastman Road,Texas Longview 2500 block of North Eastman Road,32.5276904,-94.7190083,1,0,Child
300715,Texas,Houston,8442 Tavenor Lane,Texas Houston 8442 Tavenor Lane,29.6298435,-95.267097,1,0,Child
290715,District of Columbia,Washington,600 block of 46th Place SE,District of Columbia Washington 600 block of 46th Place SE,38.8819088,-76.9357664,1,0,Child
230715,Michigan,Antrim (county),Tobias Road,Michigan Antrim (county) Tobias Road,45.0029697,-84.9285915,1,0,Child
170715,Louisiana,Shreveport,200 block of Prospect Street,Louisiana Shreveport 200 block of Prospect Street,32.4878295,-93.7332546,1,0,Child
150715,Missouri,Kansas City,3100 block of Spruce,Missouri Kansas City 3100 block of Spruce,39.0320322,-94.5335666,1,0,Child
50715,Texas,Spring,19000 block of Puget Lane,Texas Spring 19000 block of Puget Lane,30.0491579,-95.4759983,1,0,Child
20715,Virginia,Hampton,300 block of West Chamberlin Avenue,Virginia Hampton 300 block of West Chamberlin Avenue,37.0281149,-76.3204544,1,0,Child
280615,Michigan,Franklin,12919 Tipton Highway,Michigan Franklin 12919 Tipton Highway,42.07035,-84.065029,1,0,Child
270615,Montana,Saint Marie,308B Willow,Montana Saint Marie 308B Willow,48.4022458,-106.5328157,1,0,Child
130615,Texas,Wise (county),County Road 4010,Texas Wise (county) County Road 4010,33.2128598,-97.4797076,1,0,Child
110615,Ohio,Hamilton,709 Gordon Smith Boulevard,Ohio Hamilton 709 Gordon Smith Boulevard,39.433786,-84.573229,1,0,Child
100615,California,Adelanto,1800 block of Bellflower Street,California Adelanto 1800 block of Bellflower Street,34.5773199,-117.4184176,1,0,Child
90615,Tennessee,Memphis,4300 block of Egyptian Cove,Tennessee Memphis 4300 block of Egyptian Cove,35.2440878,-89.9204127,1,0,Child
300515,Alaska,Ambler,N/A,Alaska Ambler N/A,67.0861111,-157.8513888,1,0,Child
300515,Texas,Abilene,500 block of Washington Street,Texas Abilene 500 block of Washington Street,32.4568231,-99.710142,1,0,Child
250515,South Dakota,Brown (county),N/A,South Dakota Brown (county) N/A,45.7581522,-98.2542652,1,0,Child
250515,New York,Yonkers,484 Walnut St,New York Yonkers 484 Walnut St,40.9385796,-73.8837821,1,0,Child
250515,Virginia,Meherrin,Doswell Town Road,Virginia Meherrin Doswell Town Road,37.0685379,-78.3365209,1,0,Child
230515,Mississippi,Jackson,Glencross Drive,Mississippi Jackson Glencross Drive,32.3889118,-90.1625832,1,0,Child
160515,California,Perris,140 block of Metz Road,California Perris 140 block of Metz Road,33.7940162,-117.2274905,1,0,Child
150515,Arkansas,Redfield,1107 Huck Finn Blvd,Arkansas Redfield 1107 Huck Finn Blvd,34.4565311,-92.1827886,1,0,Child
30515,Florida,Panama City,1914 Frankford Ave,Florida Panama City 1914 Frankford Ave,30.1842541,-85.6904073,1,0,Child
30515,Louisiana,Shreveport,400 block of Pete Harris Drive,Louisiana Shreveport 400 block of Pete Harris Drive,32.507723,-93.759193,1,0,Child
300415,Georgia,Macon,6381 Thomaston Road,Georgia Macon 6381 Thomaston Road,32.8502623,-83.7688318,1,0,Child
290415,Georgia,Augusta,1200 block of Holden Drive,Georgia Augusta 1200 block of Holden Drive,33.4719209,-82.0008803,1,0,Child
180415,Texas,Killeen,3600 block of Del Mar Court,Texas Killeen 3600 block of Del Mar Court,31.0965044,-97.7833055,1,0,Child
120415,Ohio,Cleveland,3700 block of E. 63,Ohio Cleveland 3700 block of E. 63,41.457675,-81.6464131,1,0,Child
310315,Tennessee,Madison,333 Rio Vista Drive,Tennessee Madison 333 Rio Vista Drive,36.2689613,-86.6839391,1,0,Child
290315,Georgia,Jefferson,300 block of Fairfield Drive,Georgia Jefferson 300 block of Fairfield Drive,34.107154,-83.5661459,1,0,Child
190315,Texas,Houston,14425 Alief Clodine Rd,Texas Houston 14425 Alief Clodine Rd,29.7091628,-95.6400857,1,0,Child
190315,Texas,Houston,6301 Sierra Blanca,Texas Houston 6301 Sierra Blanca,29.7106782,-95.6403328,1,0,Child
170315,Oklahoma,Comanche,Highway 81,Oklahoma Comanche Highway 81,34.3689779,-97.9641899,1,0,Child
130315,Michigan,Flint,1800 block of Barks Street,Michigan Flint 1800 block of Barks Street,43.0094672,-83.6608461,1,0,Child
130315,Kentucky,Louisville,3400 block of Algonquin Parkway,Kentucky Louisville 3400 block of Algonquin Parkway,38.2243875,-85.8128422,1,0,Child
60315,Tennessee,Nashville,3024 Gwynwood Drive,Tennessee Nashville 3024 Gwynwood Drive,36.2297344,-86.7930979,1,0,Child
50315,Oregon,Malin,9425 Matney Way,Oregon Malin 9425 Matney Way,42.0834158,-121.6738754,1,0,Child
40315,Alaska,Shungnak,N/A,Alaska Shungnak N/A,66.8880556,-157.1363888,1,0,Child
10315,Texas,Houston,1900 block of Imperial Stone Dr.,Texas Houston 1900 block of Imperial Stone Dr.,29.9818717,-95.4024295,1,0,Child
270215,Texas,Houston,7400 block of Betanna,Texas Houston 7400 block of Betanna,29.8854061,-95.6331445,1,0,Child
150215,Alabama,Gaylesville,County Road 865,Alabama Gaylesville County Road 865,34.3309202,-85.652028,1,2,Child
100215,Ohio,Dalton,South Mount Eaton Road,Ohio Dalton South Mount Eaton Road,40.7889452,-81.6927686,1,0,Child
90215,Louisiana,Lake Charles,Arsene Road,Louisiana Lake Charles Arsene Road,30.276521,-93.072616,1,0,Child
210115,Michigan,Benton Harbor,1600 block of Norton St,Michigan Benton Harbor 1600 block of Norton St,42.0895943,-86.4348829,1,0,Child
210115,Florida,Tarpon Springs,1094 Misty Hollow Lane,Florida Tarpon Springs 1094 Misty Hollow Lane,28.1300043,-82.6846684,1,0,Child
311214,Alabama,Montgomery,1700 block of Yarborough Street,Alabama Montgomery 1700 block of Yarborough Street,32.4082639,-86.2812349,1,0,Child
301214,Idaho,Hayden,550 W Honeysuckle Ave,Idaho Hayden 550 W Honeysuckle Ave,47.7489224,-116.7934014,1,0,Child
291214,Michigan,Detroit,11200 block of Roxbury St,Michigan Detroit 11200 block of Roxbury St,42.4216023,-82.9488066,1,0,Child
291214,Michigan,Detroit,11200 block of Roxbury Street,Michigan Detroit 11200 block of Roxbury Street,42.4216023,-82.9488066,1,0,Child
151214,South Carolina,Simpsonville,Garfield Lane,South Carolina Simpsonville Garfield Lane,34.7209593,-82.2237119,1,0,Child
61214,Oklahoma,Atoka,Wells St,Oklahoma Atoka Wells St,34.4681374,-96.0600886,1,0,Child
51214,Illinois,Villa Park,N/A,Illinois Villa Park N/A,41.8897519,-87.9889543,1,0,Child
281114,Texas,Childress,N/A,Texas Childress N/A,34.4264529,-100.2040019,1,0,Child
251114,Texas,Katy,4302 Falcon Meadow,Texas Katy 4302 Falcon Meadow,29.8343809,-95.7040925,1,0,Child
241114,Oklahoma,Tulsa,100 block of South 168th East Avenue,Oklahoma Tulsa 100 block of South 168th East Avenue,36.1592597,-95.79018,1,0,Child
201114,Indiana,Elkhart,2100 block of Morton Avenue,Indiana Elkhart 2100 block of Morton Avenue,41.6666895,-85.9556683,1,0,Child
151114,Virginia,Norfolk,800 block of B Avenue,Virginia Norfolk 800 block of B Avenue,36.937094,-76.3240539,1,0,Child
81114,Michigan,Detroit,16100 block of Northlawn Ave,Michigan Detroit 16100 block of Northlawn Ave,42.4099037,-83.1530844,1,0,Child
21114,Ohio,Cincinnati,200 block of Kinsey Avenue,Ohio Cincinnati 200 block of Kinsey Avenue,39.1253427,-84.5047941,1,0,Child
221014,Montana,Charlo,Eagle Trail Pass,Montana Charlo Eagle Trail Pass,47.4426256,-114.0540866,1,0,Child
171014,Tennessee,Buchanan,Mt Pleasant Freeland Rd,Tennessee Buchanan Mt Pleasant Freeland Rd,36.4847732,-88.2172015,1,0,Child
111014,Louisiana,Benton,200 block of Retha Lane,Louisiana Benton 200 block of Retha Lane,32.7607126,-93.7698529,1,0,Child
130914,South Carolina,Denmark,East Mill Street,South Carolina Denmark East Mill Street,33.3231001,-81.1261369,1,0,Child
50914,Virginia,Richmond,1500 block of Mechanicsville Turnpike,Virginia Richmond 1500 block of Mechanicsville Turnpike,37.5469704,-77.4160252,1,0,Child
250814,Arizona,Willow Beach (White Hills),20606 US 93,Arizona Willow Beach (White Hills) 20606 US 93,35.723027,-114.4862276,1,0,Child
170814,Tennessee,Clarksville,2600 block of Arthurs Court,Tennessee Clarksville 2600 block of Arthurs Court,36.5867891,-87.3443323,1,0,Child
